pitch_type,release_speed,release_pos_x,release_pos_z,pitcher,batter,balls,strikes,outs_when_up,inning,inning_topbot,p_throws,stand,sz_top,sz_bot,effective_speed,release_spin_rate,release_extension,at_bat_number,pitch_number,bat_score,fld_score,on_3b_dum,on_2b_dum,on_1b_dum,pitcher_is_home,pitcher_is_winning,tied,is_strike
SI,92,-3.2776,5.3217,607391,465041,0,0,1,11,Top,R,R,3.5,1.67,92.274,1872,6.643,88,1,6,4,0,1,1,1,0,0,0
FF,92.9,-2.0679,6.1484,621141,542364,1,1,1,11,Top,R,L,3.38,1.61,93.588,2330,6.589,87,3,6,4,0,0,1,1,0,0,0
CH,87.1,-2.05,6.1222,621141,542364,0,1,1,11,Top,R,L,3.3277,1.6094,87.913,1726,6.597,87,2,6,4,0,0,1,1,0,0,0
SI,93,-2.0595,6.155,621141,542364,0,0,1,11,Top,R,L,3.38,1.61,93.013,2340,6.574,87,1,6,4,0,0,1,1,0,0,1
CH,89,-2.1297,6.151,621141,459964,0,1,1,11,Top,R,L,3.11,1.58,89.177,1729,6.509,86,2,6,4,0,0,0,1,0,0,0
FF,94.3,-2.0676,6.221,621141,459964,0,0,1,11,Top,R,L,3.11,1.58,94.287,2406,6.349,86,1,6,4,0,0,0,1,0,0,1
FF,93.5,-2.1276,6.2112,621141,594807,0,0,1,11,Top,R,R,3.41,1.63,92.676,2507,6.014,85,1,5,4,0,0,0,1,0,0,0
CU,79.6,-1.9574,6.2977,621141,588751,3,2,1,11,Top,R,R,3.27,1.54,78.777,2699,5.855,84,7,4,4,0,0,0,1,0,1,0
CU,79.7,-1.9562,6.2534,621141,588751,3,2,1,11,Top,R,R,3.27,1.54,77.83,2759,5.261,84,6,4,4,0,0,0,1,0,1,1
FF,93.8,-2.0122,6.1698,621141,588751,2,2,1,11,Top,R,R,3.2177,1.5394,93.419,2472,6.093,84,5,4,4,0,0,0,1,0,1,0
CU,80.1,-2.0229,6.1985,621141,588751,1,2,1,11,Top,R,R,3.2177,1.5394,78.622,2747,5.573,84,4,4,4,0,0,0,1,0,1,0
CU,79.7,-2.028,6.2172,621141,588751,1,1,1,11,Top,R,R,3.2437,1.5394,78.105,2718,5.373,84,3,4,4,0,0,0,1,0,1,1
CU,78.7,-2.0458,6.2803,621141,588751,1,0,1,11,Top,R,R,3.3737,1.5394,76.453,2686,4.954,84,2,4,4,0,0,0,1,0,1,1
CH,88,-2.1584,6.0336,621141,588751,0,0,0,11,Top,R,R,3.4257,1.5394,87.558,2260,6.118,84,1,4,4,0,0,1,1,0,1,0
FF,94.5,-2.0347,6.216,621141,571740,3,2,0,11,Top,R,L,3.34,1.56,93.905,2323,6.073,83,6,4,4,0,0,0,1,0,1,0
FF,94.4,-1.816,6.2878,621141,571740,2,2,0,11,Top,R,L,3.4438,1.5594,93.826,2440,6.189,83,5,4,4,0,0,0,1,0,1,0
CU,81,-2.028,6.2712,621141,571740,1,2,0,11,Top,R,L,3.4178,1.5594,77.965,2803,4.468,83,4,4,4,0,0,0,1,0,1,0
FF,93.8,-1.9524,6.3157,621141,571740,1,1,0,11,Top,R,L,3.4178,1.5594,92.752,2202,5.874,83,3,4,4,0,0,0,1,0,1,1
CU,79.7,-2.0049,6.2067,621141,571740,0,1,0,11,Top,R,L,3.4438,1.5594,76.698,2743,4.447,83,2,4,4,0,0,0,1,0,1,0
FF,93.2,-1.9112,6.2952,621141,571740,0,0,0,11,Top,R,L,3.34,1.56,93.031,2289,6.15,83,1,4,4,0,0,0,1,0,1,1
FF,93,-1.934,5.6446,641341,663586,1,0,2,10,Top,R,R,3.44,1.61,92.865,2470,6.399,77,2,4,4,0,1,0,1,0,1,0
FF,95.7,-1.8457,5.7429,641341,663586,0,0,2,10,Top,R,R,3.5178,1.6094,95.381,2522,6.163,77,1,4,4,0,1,0,1,0,1,0
FF,96.3,-1.8599,5.688,641341,645277,3,2,1,10,Top,R,L,3.3177,1.5494,96.059,2610,6.214,76,7,4,4,0,1,0,1,0,1,1
FF,95.9,-1.98,5.6442,641341,645277,3,2,1,10,Top,R,L,3.24,1.55,96.367,2710,6.618,76,6,4,4,0,1,0,1,0,1,1
FF,95.4,-1.8019,5.6277,641341,645277,3,1,1,10,Top,R,L,3.2917,1.5494,95.829,2624,6.583,76,5,4,4,0,0,1,1,0,1,1
FF,95.6,-1.9442,5.692,641341,645277,3,0,1,10,Top,R,L,3.2917,1.5494,95.144,2610,6.138,76,4,4,4,0,0,1,1,0,1,1
FF,95.2,-1.9619,5.6302,641341,645277,2,0,1,10,Top,R,L,3.1877,1.5494,95.641,2627,6.544,76,3,4,4,0,0,1,1,0,1,0
FF,96.5,-1.8165,5.6045,641341,645277,1,0,1,10,Top,R,L,3.2137,1.5494,96.872,2574,6.634,76,2,4,4,0,0,1,1,0,1,0
FF,95.8,-1.9259,5.7301,641341,645277,0,0,1,10,Top,R,L,3.3437,1.5494,95.798,2566,6.448,76,1,4,4,0,0,1,1,0,1,0
FF,95.2,-1.8276,5.6623,641341,621020,3,1,1,10,Top,R,R,3.5779,1.5494,95.045,2581,6.301,75,5,4,4,0,0,0,1,0,1,0
FF,95.5,-1.7602,5.6396,641341,621020,3,0,1,10,Top,R,R,3.6039,1.6694,95.733,2589,6.604,75,4,4,4,0,0,0,1,0,1,1
FF,96.7,-1.8386,5.6257,641341,621020,2,0,1,10,Top,R,R,3.656,1.6694,96.69,2650,6.47,75,3,4,4,0,0,0,1,0,1,0
FF,94.9,-1.7106,5.6582,641341,621020,1,0,1,10,Top,R,R,3.5779,1.6694,94.452,2485,6.13,75,2,4,4,0,0,0,1,0,1,0
SL,81.3,-2.0631,5.5142,641341,621020,0,0,1,10,Top,R,R,3.5518,1.6694,80.061,2445,5.65,75,1,4,4,0,0,0,1,0,1,0
FF,97.2,-1.5868,5.8154,641341,465041,1,2,0,10,Top,R,R,3.3877,1.5994,97.32,2791,6.505,74,5,4,4,0,0,0,1,0,1,1
FF,97.1,-1.622,5.7514,641341,465041,1,2,0,10,Top,R,R,3.31,1.6,97.523,2678,6.539,74,4,4,4,0,0,0,1,0,1,1
FF,94.6,-1.9055,5.6202,641341,465041,1,1,0,10,Top,R,R,3.3877,1.5994,94.645,2715,6.484,74,3,4,4,0,0,0,1,0,1,1
SL,80.6,-2.1569,5.4879,641341,465041,1,0,0,10,Top,R,R,3.2577,1.5994,80.723,2607,6.349,74,2,4,4,0,0,0,1,0,1,1
FF,94.9,-1.7277,5.7592,641341,465041,0,0,0,10,Top,R,R,3.4918,1.5994,94.952,2755,6.397,74,1,4,4,0,0,0,1,0,1,0
SL,78.9,3.6682,5.0715,623354,542364,1,2,2,9,Top,L,L,3.3137,1.6094,78.225,2628,6.072,70,5,4,4,0,0,0,1,0,1,1
SL,80,3.6706,5.1007,623354,542364,0,2,2,9,Top,L,L,3.3017,1.6094,78.785,2623,5.853,70,4,4,4,0,0,0,1,0,1,0
FF,87.8,3.5949,5.305,623354,542364,0,2,2,9,Top,L,L,3.38,1.61,87.857,2199,6.204,70,3,4,4,0,0,0,1,0,1,1
SL,78.7,3.4964,5.0484,623354,542364,0,1,2,9,Top,L,L,3.3017,1.6094,77.5,2594,5.685,70,2,4,4,0,0,0,1,0,1,1
SL,79.7,3.3988,5.0756,623354,542364,0,0,2,9,Top,L,L,3.4578,1.6094,79.197,2563,5.928,70,1,4,4,0,0,0,1,0,1,1
SL,78.9,3.5071,5.1776,623354,459964,3,2,1,9,Top,L,L,3.38,1.61,77.808,2604,5.887,69,7,4,4,0,0,0,1,0,1,0
SL,79.3,3.4915,5.1832,623354,459964,3,2,1,9,Top,L,L,3.11,1.58,78.098,2750,5.994,69,6,4,4,0,0,0,1,0,1,1
FF,89.1,3.5501,5.2962,623354,459964,2,2,1,9,Top,L,L,3.0318,1.5794,88.731,2266,6.15,69,5,4,4,0,0,0,1,0,1,0
SL,80.9,3.4724,5.1674,623354,459964,1,2,1,9,Top,L,L,3.0837,1.5794,80.236,2793,6.089,69,4,4,4,0,0,0,1,0,1,0
SL,79.6,3.4594,5.2009,623354,459964,0,2,1,9,Top,L,L,3.0318,1.5794,78.716,2768,5.954,69,3,4,4,0,0,0,1,0,1,0
