last_name, first_name,year,on_base_plus_slg,
Beltre, Adrian,2018,.763,
Suzuki, Ichiro,2018,.460,
Martinez, Victor,2018,.651,
Utley, Chase,2018,.610,
Pujols, Albert,2018,.700,
Holliday, Matt,2018,.849,
Mauer, Joe,2018,.729,
Cabrera, Miguel,2018,.843,
Gonzalez, Adrian,2018,.672,
Phillips, Brandon,2018,.520,
Reyes, Jose,2018,.579,
Mathis, Jeff,2018,.542,
Choo, Shin-Soo,2018,.810,
Rivera, Rene,2018,.693,
Wainwright, Adam,2018,.174,
Greinke, Zack,2018,.550,
Molina, Yadier,2018,.750,
Cano, Robinson,2018,.845,
Encarnacion, Edwin,2018,.809,
Bautista, Jose,2018,.727,
Hamels, Cole,2018,.388,
Jones, Adam,2018,.732,
Martin, Russell,2018,.663,
Granderson, Curtis,2018,.781,
Davis, Rajai,2018,.554,
Ramirez, Hanley,2018,.708,
Sanchez, Anibal,2018,.070,
Morales, Kendrys,2018,.769,
Kendrick, Howie,2018,.805,
Wilson, Bobby,2018,.520,
Kinsler, Ian,2018,.681,
McCarthy, Brandon,2018,.269,
McCann, Brian,2018,.640,
Walker, Neil,2018,.664,
Suzuki, Kurt,2018,.776,
Desmond, Ian,2018,.729,
Cruz, Nelson,2018,.850,
Trumbo, Mark,2018,.764,
Peralta, David,2018,.868,
Pina, Manny,2018,.701,
Escobar, Alcides,2018,.588,
Jay, Jon,2018,.675,
Prado, Martin,2018,.592,
Moore, Adam,2018,.694,
Duda, Lucas,2018,.731,
Wieters, Matt,2018,.703,
Longoria, Evan,2018,.694,
Cozart, Zack,2018,.658,
Guyer, Brandon,2018,.670,
Rodriguez, Sean,2018,.591,
Lobaton, Jose,2018,.470,
Hill, Rich,2018,.182,
Reynolds, Mark,2018,.803,
Davis, Chris,2018,.539,
Guerra, Junior,2018,.308,
Orlando, Paulo,2018,.394,
Vargas, Jason,2018,.309,
Zobrist, Ben,2018,.816,
Adduci, Jim,2018,.673,
Fowler, Dexter,2018,.576,
Flowers, Tyler,2018,.700,
Headley, Chase,2018,.368,
Pence, Hunter,2018,.590,
Span, Denard,2018,.760,
Lester, Jon,2018,.277,
Cabrera, Asdrubal,2018,.774,
Robinson, Shane,2018,.428,
Scherzer, Max,2018,.528,
Buchholz, Clay,2018,.178,
Richard, Clayton,2018,.328,
Arrieta, Jake,2018,.380,
Blackmon, Charlie,2018,.859,
Blanco, Gregor,2018,.579,
Frazier, Todd,2018,.693,
Ellis, A.J.,2018,.716,
Iannetta, Chris,2018,.729,
Maldonado, Martin,2018,.626,
Chirinos, Robinson,2018,.757,
Stewart, Chris,2018,.435,
Young, Chris,2018,.613,
Markakis, Nick,2018,.806,
Pedroia, Dustin,2018,.322,
Castillo, Welington,2018,.710,
Kratz, Erik,2018,.633,
Nunez, Eduardo,2018,.676,
Cueto, Johnny,2018,.000,
Pearce, Steve,2018,.890,
Bailey, Homer,2018,.233,
Cain, Lorenzo,2018,.813,
McCutchen, Andrew,2018,.792,
Jackson, Austin,2018,.624,
Upton, Justin,2018,.808,
Maybin, Cameron,2018,.662,
Turner, Justin,2018,.924,
Posey, Buster,2018,.741,
Bruce, Jay,2018,.680,
Votto, Joey,2018,.837,
Rasmus, Colby,2018,.426,
Gardner, Brett,2018,.688,
Young Jr., Eric,2018,.551,
Joyce, Matt,2018,.674,
Hundley, Nick,2018,.706,
Pennington, Cliff,2018,.403,
Braun, Ryan,2018,.780,
Butera, Drew,2018,.564,
Gordon, Alex,2018,.694,
Gimenez, Chris,2018,.621,
Gomez, Carlos,2018,.633,
Kemp, Matt,2018,.818,
Gonzalez, Gio,2018,.189,
Plouffe, Trevor,2018,.750,
Romine, Andrew,2018,.496,
Andrus, Elvis,2018,.675,
Petit, Gregorio,2018,.592,
Cervelli, Francisco,2018,.807,
Florimon, Pedro,2018,.699,
Cabrera, Melky,2018,.755,
Sandoval, Pablo,2018,.727,
Ramos, Wilson,2018,.845,
Nova, Ivan,2018,.037,
Santana, Carlos,2018,.766,
Parra, Gerardo,2018,.712,
Chacin, Jhoulys,2018,.355,
Montero, Miguel,2018,.154,
Gonzalez, Carlos,2018,.796,
Valbuena, Luis,2018,.588,
Mercer, Jordy,2018,.695,
Belt, Brandon,2018,.756,
Ross, Tyson,2018,.464,
Alonso, Yonder,2018,.738,
Flaherty, Ryan,2018,.589,
Smoak, Justin,2018,.808,
Zimmerman, Ryan,2018,.824,
Hellickson, Jeremy,2018,.151,
Lowrie, Jed,2018,.801,
Alvarez, Pedro,2018,.698,
Kershaw, Clayton,2018,.598,
Avila, Alex,2018,.603,
Barnes, Brandon,2018,.754,
Bourjos, Peter,2018,.598,
Brantley, Michael,2018,.831,
Castro, Jason,2018,.495,
Cruz, Tony,2018,.462,
d'Arnaud, Chase,2018,.616,
Miley, Wade,2018,.399,
Morrison, Logan,2018,.644,
Rosales, Adam,2018,.659,
Hernandez, Gorkys,2018,.675,
Sucre, Jesus,2018,.495,
Cespedes, Yoenis,2018,.821,
Gurriel, Yuli,2018,.751,
Beckham, Gordon,2018,.445,
Rodriguez, Ronny,2018,.588,
Solarte, Yangervis,2018,.655,
Rojas, Miguel,2018,.642,
Quintana, Jose,2018,.146,
Escobar, Eduardo,2018,.824,
Martinez, Jose,2018,.820,
Sierra, Moises,2018,.420,
Adrianza, Ehire,2018,.677,
Lagares, Juan,2018,.765,
Almonte, Abraham,2018,.542,
Freese, David,2018,.830,
Davis, Khris,2018,.874,
Archer, Chris,2018,.294,
Pham, Tommy,2018,.830,
Chisenhall, Lonnie,2018,.842,
Martinez, J.D.,2018,1.031,
Negron, Kristopher,2018,.555,
Valencia, Danny,2018,.723,
Samardzija, Jeff,2018,.191,
Reddick, Josh,2018,.716,
Gentry, Craig,2018,.666,
Dyson, Jarrod,2018,.536,
Murphy, Daniel,2018,.790,
Anderson, Chase,2018,.171,
Goldschmidt, Paul,2018,.921,
Holland, Derek,2018,.147,
Gonzalez, Marwin,2018,.730,
Darvish, Yu,2018,.238,
Leon, Sandy,2018,.508,
Sanchez, Adrian,2018,.633,
Pena, Francisco,2018,.510,
Altuve, Jose,2018,.835,
Hernandez, Cesar,2018,.718,
Segura, Jean,2018,.753,
Arcia, Francisco,2018,.654,
Castro, Starlin,2018,.729,
Marte, Starling,2018,.786,
