last_name, first_name,name,year,p_formatted_ip,p_earned_run,p_era
Colon, Bartolo, Bartolo Colon,2018,146.1,94,
Belisle, Matt, Matt Belisle,2018,34.1,30,
Sabathia, CC, CC Sabathia,2018,153,62,
De La Rosa, Jorge, Jorge De La Rosa,2018,56,21,
Rodney, Fernando, Fernando Rodney,2018,64.1,24,
Reyes, Jose, Jose Reyes,2018,1,6,
Perez, Oliver, Oliver Perez,2018,32.1,5,
Madson, Ryan, Ryan Madson,2018,52.2,32,
Wainwright, Adam, Adam Wainwright,2018,40.1,20,
Greinke, Zack, Zack Greinke,2018,207.2,74,
Jackson, Edwin, Edwin Jackson,2018,92,34,
Santana, Ervin, Ervin Santana,2018,24.2,22,
Boyer, Blaine, Blaine Boyer,2018,21.2,29,
Hamels, Cole, Cole Hamels,2018,190.2,80,
Casilla, Santiago, Santiago Casilla,2018,31.1,11,
Hernandez, Felix, Felix Hernandez,2018,155.2,96,
Petit, Yusmeiro, Yusmeiro Petit,2018,93,31,
Verlander, Justin, Justin Verlander,2018,214,60,
Liriano, Francisco, Francisco Liriano,2018,133.2,68,
Hammel, Jason, Jason Hammel,2018,127,85,
Sanchez, Anibal, Anibal Sanchez,2018,136.2,43,
Duke, Zach, Zach Duke,2018,52,24,
McCarthy, Brandon, Brandon McCarthy,2018,78.2,43,
Rondon, Hector, Hector Rondon,2018,59,21,
Dunn, Mike, Mike Dunn,2018,17,17,
Kintzler, Brandon, Brandon Kintzler,2018,60.2,31,
Jansen, Kenley, Kenley Jansen,2018,71.2,24,
Chavez, Jesse, Jesse Chavez,2018,95.1,27,
Axford, John, John Axford,2018,54.2,32,
Detwiler, Ross, Ross Detwiler,2018,6,3,
Kluber, Corey, Corey Kluber,2018,215,69,
Cecil, Brett, Brett Cecil,2018,32.2,25,
Ziegler, Brad, Brad Ziegler,2018,73.2,32,
Mann, Brandon, Brandon Mann,2018,8.1,5,
Jepsen, Kevin, Kevin Jepsen,2018,16.2,11,
Hill, Rich, Rich Hill,2018,132.2,54,
Doolittle, Sean, Sean Doolittle,2018,45,8,
Shields, James, James Shields,2018,204.2,103,
Sipp, Tony, Tony Sipp,2018,38.2,8,
Torres, Carlos, Carlos Torres,2018,9.2,7,
Garcia, Jaime, Jaime Garcia,2018,82,53,
Guerra, Junior, Junior Guerra,2018,141,64,
Morton, Charlie, Charlie Morton,2018,167,58,
Neshek, Pat, Pat Neshek,2018,24.1,7,
Vargas, Jason, Jason Vargas,2018,92,59,
Medlen, Kris, Kris Medlen,2018,4,7,
Fister, Doug, Doug Fister,2018,66,33,
Davis, Wade, Wade Davis,2018,65.1,30,
Gallardo, Yovani, Yovani Gallardo,2018,94.1,67,
Fields, Josh, Josh Fields,2018,41,10,
Lester, Jon, Jon Lester,2018,181.2,67,
Hughes, Jared, Jared Hughes,2018,78.2,17,
Kennedy, Ian, Ian Kennedy,2018,119.2,62,
Miller, Andrew, Andrew Miller,2018,34,16,
Wright, Steven, Steven Wright,2018,53.2,16,
Watson, Tony, Tony Watson,2018,66,19,
LeBlanc, Wade, Wade LeBlanc,2018,162,67,
Parker, Blake, Blake Parker,2018,66.1,24,
Scherzer, Max, Max Scherzer,2018,220.2,62,
Buchholz, Clay, Clay Buchholz,2018,98.1,22,
Melancon, Mark, Mark Melancon,2018,39,14,
Morrow, Brandon, Brandon Morrow,2018,30.2,5,
Richard, Clayton, Clayton Richard,2018,158.2,94,
Arrieta, Jake, Jake Arrieta,2018,172.2,76,
Martin, Chris, Chris Martin,2018,41.2,21,
Price, David, David Price,2018,176,70,
Gonzalez, Miguel, Miguel Gonzalez,2018,12.1,17,
Kratz, Erik, Erik Kratz,2018,3,1,
Cueto, Johnny, Johnny Cueto,2018,53,19,
Hernandez, David, David Hernandez,2018,64,18,
Bailey, Homer, Homer Bailey,2018,106.1,72,
Bush, Matt, Matt Bush,2018,23,12,
Logan, Boone, Boone Logan,2018,10.2,7,
Edwards, Jon, Jon Edwards,2018,8.2,3,
Guerra, Javy, Javy Guerra,2018,35.2,22,
Happ, J.A., J.A. Happ,2018,177.2,72,
Albers, Matt, Matt Albers,2018,34.1,28,
Cedeno, Xavier, Xavier Cedeno,2018,33.1,9,
Wilson, Justin, Justin Wilson,2018,54.2,21,
Lynn, Lance, Lance Lynn,2018,156.2,83,
Volstad, Chris, Chris Volstad,2018,47.1,33,
Tomlin, Josh, Josh Tomlin,2018,70.1,48,
Venters, Jonny, Jonny Venters,2018,34.1,14,
McGee, Jake, Jake McGee,2018,51.1,37,
Gimenez, Chris, Chris Gimenez,2018,2,8,
Blevins, Jerry, Jerry Blevins,2018,42.2,23,
Clippard, Tyler, Tyler Clippard,2018,68.2,28,
Gonzalez, Gio, Gio Gonzalez,2018,171,80,
Hughes, Phil, Phil Hughes,2018,32.2,23,
Romine, Andrew, Andrew Romine,2018,3,5,
Swarzak, Anthony, Anthony Swarzak,2018,26.1,18,
Estrada, Marco, Marco Estrada,2018,143.2,90,
Johnson, Jim, Jim Johnson,2018,63.1,27,
Cruz, Rhiner, Rhiner Cruz,2018,3.1,1,
Socolovich, Miguel, Miguel Socolovich,2018,5,6,
Soria, Joakim, Joakim Soria,2018,60.2,21,
Strop, Pedro, Pedro Strop,2018,59.2,15,
Nova, Ivan, Ivan Nova,2018,161,75,
Chacin, Jhoulys, Jhoulys Chacin,2018,192.2,75,
Carrasco, Carlos, Carlos Carrasco,2018,192,72,
Garcia, Luis, Luis Garcia,2018,46,31,
Dyson, Sam, Sam Dyson,2018,70.1,21,
Anderson, Brett, Brett Anderson,2018,80.1,40,
Roe, Chaz, Chaz Roe,2018,50.1,20,
Ross, Tyson, Tyson Ross,2018,149.2,69,
Cook, Ryan, Ryan Cook,2018,17,10,
Hellickson, Jeremy, Jeremy Hellickson,2018,91.1,35,
Betances, Dellin, Dellin Betances,2018,66.2,20,
Warren, Adam, Adam Warren,2018,51.2,18,
Stock, Robert, Robert Stock,2018,39.2,11,
Kershaw, Clayton, Clayton Kershaw,2018,161.1,49,
Salas, Fernando, Fernando Salas,2018,40,20,
Paredes, Edward, Edward Paredes,2018,7.2,5,
Buchter, Ryan, Ryan Buchter,2018,39.1,12,
Cashner, Andrew, Andrew Cashner,2018,153,90,
Coleman, Louis, Louis Coleman,2018,51.1,20,
Duensing, Brian, Brian Duensing,2018,37.2,32,
Hunter, Tommy, Tommy Hunter,2018,64,27,
Miley, Wade, Wade Miley,2018,80.2,23,
Romo, Sergio, Sergio Romo,2018,67.1,31,
Stammen, Craig, Craig Stammen,2018,79,24,
Yates, Kirby, Kirby Yates,2018,63,15,
Zagurski, Mike, Mike Zagurski,2018,1,7,
Gomez, Jeanmar, Jeanmar Gomez,2018,25,13,
Oh, Seunghwan, Seunghwan Oh,2018,68.1,20,
Moylan, Peter, Peter Moylan,2018,28.1,14,
Ottavino, Adam, Adam Ottavino,2018,77.2,21,
Ramirez, JC, JC Ramirez,2018,6.2,7,
Quintana, Jose, Jose Quintana,2018,174.1,78,
Infante, Gregory, Gregory Infante,2018,9,8,
Avilan, Luis, Luis Avilan,2018,45.1,19,
Alvarez, Jose, Jose Alvarez,2018,63,19,
Marinez, Jhan, Jhan Marinez,2018,8,5,
Harris, Will, Will Harris,2018,56.2,22,
Barnette, Tony, Tony Barnette,2018,26.1,7,
Hatcher, Chris, Chris Hatcher,2018,36.1,20,
Smith, Joe, Joe Smith,2018,45.2,19,
Tillman, Chris, Chris Tillman,2018,26.2,31,
Minor, Mike, Mike Minor,2018,157,73,
Kontos, George, George Kontos,2018,26.2,13,
Jeffress, Jeremy, Jeremy Jeffress,2018,76.2,11,
Wood, Blake, Blake Wood,2018,11.2,3,
Norris, Bud, Bud Norris,2018,57.2,23,
Archer, Chris, Chris Archer,2018,148.1,71,
Gibson, Kyle, Kyle Gibson,2018,196.2,79,
Ravin, Josh, Josh Ravin,2018,3,2,
McAllister, Zach, Zach McAllister,2018,45,31,
Robertson, David, David Robertson,2018,69.2,25,
Britton, Zack, Zack Britton,2018,40.2,14,
Cobb, Alex, Alex Cobb,2018,152.1,83,
Samardzija, Jeff, Jeff Samardzija,2018,44.2,31,
Leake, Mike, Mike Leake,2018,185.2,90,
Boxberger, Brad, Brad Boxberger,2018,53.1,26,
Bibens-Dirkx, Austin, Austin Bibens-Dirkx,2018,45,31,
Cahill, Trevor, Trevor Cahill,2018,110,46,
Santiago, Hector, Hector Santiago,2018,102,50,
Gregerson, Luke, Luke Gregerson,2018,12.2,10,
Miller, Justin, Justin Miller,2018,52.1,21,
Petricka, Jake, Jake Petricka,2018,45.2,23,
Anderson, Chase, Chase Anderson,2018,158,69,
Holland, Derek, Derek Holland,2018,171.1,68,
Peacock, Brad, Brad Peacock,2018,65,25,
O'Day, Darren, Darren O'Day,2018,20,8,
Peralta, Wily, Wily Peralta,2018,34.1,14,
Nicasio, Juan, Juan Nicasio,2018,42,28,
Darvish, Yu, Yu Darvish,2018,40,22,
Arcia, Francisco, Francisco Arcia,2018,3,3,
Herrera, Kelvin, Kelvin Herrera,2018,44.1,12,
Colome, Alex, Alex Colome,2018,68,23,
Delgado, Randall, Randall Delgado,2018,11.1,6,
Alexander, Scott, Scott Alexander,2018,66,27,
Bell, Chad, Chad Bell,2018,7.1,7,
Bettis, Chad, Chad Bettis,2018,120.1,67,
Brasier, Ryan, Ryan Brasier,2018,33.2,6,
Bumgarner, Madison, Madison Bumgarner,2018,129.2,47,
Cishek, Steve, Steve Cishek,2018,70.1,17,
Cole, Taylor, Taylor Cole,2018,36,11,
Descalso, Daniel, Daniel Descalso,2018,3.1,3,
Diekman, Jake, Jake Diekman,2018,53.1,28,
Duffy, Danny, Danny Duffy,2018,155,84,
Freeman, Sam, Sam Freeman,2018,50.1,24,
Gearrin, Cory, Cory Gearrin,2018,57.1,24,
Grimm, Justin, Justin Grimm,2018,17.1,20,
Harvey, Matt, Matt Harvey,2018,155,85,
Holland, Greg, Greg Holland,2018,46.1,24,
Jones, Nate, Nate Jones,2018,30,10,
Kelley, Shawn, Shawn Kelley,2018,49,16,
Kiekhefer, Dean, Dean Kiekhefer,2018,2,4,
